abbreviation,state,country,latitude,longitude
AL,Alabama,USA,32.806671,-86.79113
AK,Alaska,USA,61.370716,-152.404419
AZ,Arizona,USA,33.729759,-111.431221
AR,Arkansas,USA,34.969704,-92.373123
CA,California,USA,36.116203,-119.681564
CO,Colorado,USA,39.059811,-105.311104
CT,Connecticut,USA,41.597782,-72.755371
DE,Delaware,USA,39.318523,-75.507141
DC,District of Columbia,USA,38.897438,-77.026817
FL,Florida,USA,27.766279,-81.686783
GA,Georgia,USA,33.040619,-83.643074
HI,Hawaii,USA,21.094318,-157.498337
ID,Idaho,USA,44.240459,-114.478828
IL,Illinois,USA,40.349457,-88.986137
IN,Indiana,USA,39.849426,-86.258278
IA,Iowa,USA,42.011539,-93.210526
KS,Kansas,USA,38.5266,-96.726486
KY,Kentucky,USA,37.66814,-84.670067
LA,Louisiana,USA,31.169546,-91.867805
ME,Maine,USA,44.693947,-69.381927
MD,Maryland,USA,39.063946,-76.802101
MA,Massachusetts,USA,42.230171,-71.530106
MI,Michigan,USA,43.326618,-84.536095
MN,Minnesota,USA,45.694454,-93.900192
MS,Mississippi,USA,32.741646,-89.678696
MO,Missouri,USA,38.456085,-92.288368
MT,Montana,USA,46.921925,-110.454353
NE,Nebraska,USA,41.12537,-98.268082
NV,Nevada,USA,38.313515,-117.055374
NH,New Hampshire,USA,43.452492,-71.563896
NJ,New Jersey,USA,40.298904,-74.521011
NM,New Mexico,USA,34.840515,-106.248482
NY,New York,USA,42.165726,-74.948051
NC,North Carolina,USA,35.630066,-79.806419
ND,North Dakota,USA,47.528912,-99.784012
OH,Ohio,USA,40.388783,-82.764915
OK,Oklahoma,USA,35.565342,-96.928917
OR,Oregon,USA,44.572021,-122.070938
PA,Pennsylvania,USA,40.590752,-77.209755
RI,Rhode Island,USA,41.680893,-71.51178
SC,South Carolina,USA,33.856892,-80.945007
SD,South Dakota,USA,44.299782,-99.438828
TN,Tennessee,USA,35.747845,-86.692345
TX,Texas,USA,31.054487,-97.563461
UT,Utah,USA,40.150032,-111.862434
VT,Vermont,USA,44.045876,-72.710686
VA,Virginia,USA,37.769337,-78.169968
WA,Washington,USA,47.400902,-121.490494
WV,West Virginia,USA,38.491226,-80.954453
WI,Wisconsin,USA,44.268543,-89.616508
WY,Wyoming,USA,42.755966,-107.30249
Canada_QC,Quebec,Canada,52.939915,-73.549133
Canada_ON,Ontario,Canada,43.65107,-79.347015
Canada_BC,British Columbia,Canada,54.112499,-126.55761
Jamaica,Jamaica,Jamaica,18.109581,-77.297508
Mexico_TAM,Tamaulipas,Mexico,22.233105,-97.861099
Wuhan_Hu,Wuhan,China,30.581322,114.295181
